Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10486023,1,"Monday, June  4, 2012 04:56:48 UTC",61.8851,-141.4047,2.6,0.00,32,"Southern Alaska"
ci,15159001,2,"Monday, June  4, 2012 04:45:10 UTC",35.4875,-118.3990,1.6,9.80,45,"Central California"
pr,12156001,0,"Monday, June  4, 2012 04:39:58 UTC",18.3353,-67.9675,3.1,98.50,10,"Dominican Republic region"
us,b000a76f,6,"Monday, June  4, 2012 04:37:38 UTC",32.3588,-97.3651,2.3,5.00,16,"northern Texas"
nc,71796086,3,"Monday, June  4, 2012 04:37:04 UTC",38.8217,-122.7950,1.1,3.30,35,"Northern California"
ak,10486009,1,"Monday, June  4, 2012 04:11:46 UTC",60.0398,-140.0481,1.9,6.30,15,"Southern Yukon Territory, Canada"
nn,00378417,9,"Monday, June  4, 2012 03:47:52 UTC",36.8467,-115.2311,1.1,0.30,12,"Nevada"
nc,71796046,3,"Monday, June  4, 2012 03:33:48 UTC",37.4828,-118.8093,2.5,9.40,48,"Central California"
pr,12156000,0,"Monday, June  4, 2012 03:15:34 UTC",18.6089,-66.9889,2.6,19.70,13,"Puerto Rico region"
us,b000a66u,A,"Monday, June  4, 2012 03:15:24 UTC",5.5072,-82.4566,6.4,5.90,538,"south of Panama"
ci,15158977,2,"Monday, June  4, 2012 03:12:46 UTC",33.8010,-116.6957,1.2,19.50,69,"Southern California"
ci,15158969,2,"Monday, June  4, 2012 02:17:38 UTC",35.4302,-120.0055,1.3,2.70,13,"Central California"
ci,15158961,2,"Monday, June  4, 2012 02:01:54 UTC",33.0403,-116.4230,1.7,9.70,63,"Southern California"
ak,10485983,1,"Monday, June  4, 2012 02:01:02 UTC",60.0361,-151.4825,2.4,29.30,14,"Kenai Peninsula, Alaska"
ak,10485977,2,"Monday, June  4, 2012 01:33:37 UTC",60.3916,-152.9082,2.0,139.00,23,"Southern Alaska"
ak,10485976,1,"Monday, June  4, 2012 01:18:29 UTC",60.3150,-151.8661,1.7,19.70,10,"Kenai Peninsula, Alaska"
ak,10485973,1,"Monday, June  4, 2012 01:07:35 UTC",60.9951,-147.0166,1.8,19.70,16,"Southern Alaska"
ak,10485955,1,"Monday, June  4, 2012 00:51:03 UTC",65.1332,-149.0939,1.9,7.30,11,"northern Alaska"
us,b000a664,C,"Monday, June  4, 2012 00:45:15 UTC",5.2865,-82.5799,6.2,9.70,567,"south of Panama"
ci,15158937,2,"Monday, June  4, 2012 00:45:00 UTC",32.5530,-115.7980,1.4,1.30,23,"Baja California, Mexico"
nc,71795966,2,"Monday, June  4, 2012 00:41:23 UTC",36.0332,-120.5942,1.3,4.30,40,"Central California"
nc,71795941,3,"Monday, June  4, 2012 00:22:50 UTC",38.7837,-122.7500,1.8,0.50,45,"Northern California"
hv,60354636,1,"Monday, June  4, 2012 00:21:36 UTC",19.3200,-155.4397,1.9,7.00,34,"Island of Hawaii, Hawaii"
us,b000a65u,4,"Monday, June  4, 2012 00:15:42 UTC",-21.7154,169.1131,5.0,32.40,76,"southeast of the Loyalty Islands"
nc,71795926,3,"Monday, June  4, 2012 00:08:49 UTC",40.5793,-122.2510,1.5,17.60,14,"Northern California"
nc,71795916,2,"Sunday, June  3, 2012 23:49:49 UTC",35.7358,-120.2717,1.1,5.10,39,"Central California"
ci,15158921,2,"Sunday, June  3, 2012 23:36:05 UTC",36.9312,-118.0892,1.6,1.80,15,"Central California"
nc,71795891,2,"Sunday, June  3, 2012 23:24:04 UTC",35.7345,-120.2778,1.0,1.50,36,"Central California"
